target,run,generation,regression-function,?
0,0,14,"divide(minus(multiply(divide(multiply(x0,x0),pow(15.0,38.0)),minus(sqrt(x0),minus(x0,-32.0))),pow(pow(sqrt(x0),sqrt(-1.0)),multiply(minus(x0,11.0),pow(-22.0,-2.0)))),plus(divide(plus(minus(26.0,-38.0),minus(x0,PI)),multiply(sqrt(-21.0),multiply(PI,32.0))),multiply(plus(multiply(-22.0,-20.0),sqrt(37.0)),multiply(plus(x0,x0),multiply(0.0,x0)))))",0.0
0,0,15,"divide(minus(multiply(divide(multiply(x0,x0),pow(15.0,38.0)),minus(sqrt(x0),minus(x0,-32.0))),pow(pow(sqrt(x0),sqrt(-1.0)),multiply(minus(x0,11.0),pow(-22.0,-2.0)))),plus(divide(plus(minus(26.0,-38.0),minus(x0,PI)),multiply(sqrt(-21.0),multiply(PI,32.0))),multiply(plus(multiply(-22.0,-20.0),sqrt(37.0)),multiply(plus(x0,x0),multiply(0.0,x0)))))",0.0
0,0,16,"divide(minus(multiply(divide(multiply(x0,x0),pow(15.0,38.0)),minus(sqrt(x0),minus(x0,-32.0))),pow(pow(sqrt(x0),sqrt(-1.0)),multiply(minus(x0,11.0),pow(-22.0,-2.0)))),plus(divide(plus(minus(26.0,-38.0),minus(x0,PI)),multiply(sqrt(-21.0),multiply(PI,32.0))),multiply(plus(multiply(-22.0,-20.0),sqrt(37.0)),multiply(plus(x0,x0),multiply(0.0,x0)))))",0.0
0,0,17,"divide(minus(multiply(divide(multiply(x0,x0),pow(15.0,38.0)),minus(sqrt(x0),minus(x0,-32.0))),pow(pow(sqrt(x0),sqrt(-1.0)),multiply(minus(x0,11.0),pow(-22.0,-2.0)))),plus(divide(plus(minus(26.0,-38.0),minus(x0,PI)),multiply(sqrt(-21.0),multiply(PI,32.0))),multiply(plus(multiply(-22.0,-20.0),sqrt(37.0)),multiply(plus(x0,x0),multiply(0.0,x0)))))",0.0
0,0,18,"divide(minus(multiply(divide(multiply(x0,x0),pow(15.0,38.0)),minus(sqrt(x0),minus(x0,-32.0))),pow(pow(sqrt(x0),sqrt(-1.0)),multiply(minus(x0,11.0),pow(-22.0,-2.0)))),plus(divide(plus(minus(26.0,-38.0),minus(x0,PI)),multiply(sqrt(-21.0),multiply(PI,32.0))),multiply(plus(multiply(-22.0,-20.0),sqrt(37.0)),multiply(plus(x0,x0),multiply(0.0,x0)))))",0.0
0,0,19,"divide(minus(multiply(divide(multiply(x0,x0),pow(15.0,38.0)),minus(sqrt(x0),minus(x0,-32.0))),pow(pow(sqrt(x0),sqrt(-1.0)),multiply(minus(x0,11.0),pow(-22.0,-2.0)))),plus(divide(plus(minus(26.0,-38.0),minus(x0,PI)),multiply(sqrt(-21.0),multiply(PI,32.0))),multiply(plus(multiply(-22.0,-20.0),sqrt(37.0)),multiply(plus(x0,x0),multiply(0.0,x0)))))",0.0
0,0,20,"divide(minus(multiply(divide(multiply(x0,x0),pow(15.0,38.0)),minus(sqrt(x0),minus(x0,-32.0))),pow(pow(sqrt(x0),sqrt(-1.0)),multiply(minus(x0,11.0),pow(-22.0,-2.0)))),plus(divide(plus(minus(26.0,-38.0),minus(x0,PI)),multiply(sqrt(-21.0),multiply(PI,32.0))),multiply(plus(multiply(-22.0,-20.0),sqrt(37.0)),multiply(plus(x0,x0),multiply(0.0,x0)))))",0.0
0,0,21,"divide(minus(multiply(divide(multiply(x0,x0),pow(15.0,38.0)),minus(sqrt(x0),minus(x0,-32.0))),pow(pow(sqrt(x0),sqrt(-1.0)),multiply(minus(x0,11.0),pow(-22.0,-2.0)))),plus(divide(plus(minus(26.0,-38.0),minus(x0,PI)),multiply(sqrt(-21.0),multiply(PI,32.0))),multiply(plus(multiply(-22.0,-20.0),sqrt(37.0)),multiply(plus(x0,x0),multiply(0.0,x0)))))",0.0
0,0,22,"divide(minus(multiply(divide(multiply(x0,x0),pow(15.0,38.0)),minus(sqrt(x0),minus(x0,-32.0))),pow(pow(sqrt(x0),sqrt(-1.0)),multiply(minus(x0,11.0),pow(-22.0,-2.0)))),plus(divide(plus(minus(26.0,-38.0),minus(x0,PI)),multiply(sqrt(-21.0),multiply(PI,32.0))),multiply(plus(multiply(-22.0,-20.0),sqrt(37.0)),multiply(plus(x0,x0),multiply(0.0,x0)))))",0.0
0,0,23,"divide(minus(multiply(divide(multiply(x0,x0),pow(15.0,38.0)),minus(sqrt(x0),minus(x0,-32.0))),pow(pow(sqrt(x0),sqrt(-1.0)),multiply(minus(x0,11.0),pow(-22.0,-2.0)))),plus(divide(plus(minus(26.0,-38.0),minus(x0,PI)),multiply(sqrt(-21.0),multiply(PI,32.0))),multiply(plus(multiply(-22.0,-20.0),sqrt(37.0)),multiply(plus(x0,x0),multiply(0.0,x0)))))",0.0
